logFC	AveExpr	t	P.Value	adj.P.Val	B
SH3TC2	-5.28660332678479	2.27586204756805	-22.500555126216	7.49370315369646e-12	9.25493997583113e-10	17.5810346039347
PPTC7	-2.16138577374808	5.23051943374804	-22.4353963117422	7.77677894367247e-12	9.49478050917178e-10	17.5617631967889
SRGAP1	2.3341767801137	4.47893698044815	22.2308762381855	8.74249774144508e-12	1.04077063535826e-09	17.5548136245936
CREB5	-5.28527419698232	1.20672398503603	-23.1112935294294	5.31967363536367e-12	6.84699680079399e-10	17.5291698201835
CEP170B	-1.66794723271115	7.28832027122798	-22.4061459431239	7.90757191603494e-12	9.59214061367916e-10	17.5155262785395
LMNB1	2.03903839274047	8.25651595756172	22.3877133780194	7.99120579067158e-12	9.59214061367916e-10	17.5135178217587
LINC01003	-2.73579824086049	2.90432373610447	-22.1318910691527	9.25549198523449e-12	1.07474370519848e-09	17.4979081798541
TEAD4	1.62163010319216	5.62656041450012	22.2257945086522	8.76807611927765e-12	1.04077063535826e-09	17.467382800378
AMPD3	-3.67563896054732	2.58035429612232	-22.003087982416	9.97198328415294e-12	1.13330529175113e-09	17.4035489307138
SPAG9	-1.92841135523059	7.83565986553322	-22.1830487398421	8.9864429064613e-12	1.06079745380913e-09	17.3942786783991
HES2	-2.53241272885863	6.42732202858498	-22.1721070922429	9.04327275058052e-12	1.0616404702687e-09	17.3769274878261
RBPMS2	-2.11257313224734	6.04000817265373	-22.1148131819235	9.3472248481777e-12	1.07952868165494e-09	17.3417942589037
NR4A1	-2.76928784005865	5.0128194260513	-22.0062905624527	9.95346300848352e-12	1.13330529175113e-09	17.3286841741511
TGFBR3	-1.74872733188589	5.48212545150604	-22.0063245612622	9.95326659432984e-12	1.13330529175113e-09	17.2882727023696
GFPT2	-4.01616652870153	1.96435651409738	-21.8457964532561	1.09287657184417e-11	1.20986532818769e-09	17.2308354773649
PFKFB2	-2.8170230437599	2.96609062716637	-21.6638504687269	1.21601358841608e-11	1.31885006751766e-09	17.22764748612
NOTCH1	-4.21172672498105	6.10217855578964	-21.8521514425469	1.08882539727845e-11	1.20986532818769e-09	17.2188303692869
L1TD1	1.3545135426451	7.83551104591486	21.8821506370556	1.06991817962125e-11	1.20102316523831e-09	17.2019150618439
CNTNAP2	1.62416594099246	6.86929014586306	21.8761893843917	1.0736470306118e-11	1.20102316523831e-09	17.2006138421192
NBPF14	-1.72826964429044	3.98697086280187	-21.5827536686634	1.27562927024647e-11	1.37651994889324e-09	17.1331320023429
BCAR1	-2.02717634721681	6.9318702357511	-21.7715148525877	1.14144936373433e-11	1.25712407760555e-09	17.1310509001969
FBN2	1.88168797872344	8.84311253229352	21.7248857851362	1.17312160390977e-11	1.27882225454776e-09	17.1235661976957
S100A6	-2.90138937404537	4.73036479346533	-21.563306342852	1.29038726749854e-11	1.38544795765698e-09	17.0805510875917
ASPHD2	-2.64637210378292	2.40038107900301	-21.4110704418705	1.41245460305084e-11	1.48662586447213e-09	17.0617731932975
LINC00836	1.7227460451164	5.7540057269376	21.543202151303	1.30583676925473e-11	1.39502542059483e-09	17.0514509809435
CD200	-4.57758835421943	1.09931650643126	-21.9707480296987	1.01610913007244e-11	1.14868717847237e-09	17.007466466901
HEG1	-3.41902622235084	4.43311300163397	-21.3680094219781	1.44919198665359e-11	1.5104115115532e-09	16.9926536893529
TFAP2C	-2.10233716113198	8.5270954758359	-21.4828116694132	1.35345232242346e-11	1.43869961795521e-09	16.9845109463184
HSPBAP1	-2.06693409578854	3.79914815233864	-21.3072735102737	1.5027642308201e-11	1.55111403650736e-09	16.9801601785819
CREB3L1	-2.2756553178888	4.69663566627719	-21.3991147490526	1.42255316469043e-11	1.48991524101842e-09	16.9704304984553
GPC1	-1.83670823851199	8.4883988904348	-21.435908469946	1.3917201359758e-11	1.47205408045837e-09	16.9529150941561
NRXN2	-4.06748237325565	0.94051492945815	-21.7571992263898	1.15107421019587e-11	1.26122315769461e-09	16.8751654074002
PEG10	2.37675755143894	11.3609904719538	21.2048310647937	1.59800480387616e-11	1.62585574474372e-09	16.8586561429962
APPBP2	-1.8562375844059	6.69019315073226	-21.3326107343412	1.48016120650013e-11	1.5352002105865e-09	16.8562860300549
DIO2	-3.09353337792491	2.58506771037517	-21.0328148778935	1.77282481349803e-11	1.77831807348352e-09	16.8463269878259
QSOX1	-2.07098921504832	8.46674452986594	-21.2121050074195	1.59103277080397e-11	1.62585574474372e-09	16.8146544756463
MTMR4	-1.74515270761421	6.59830261982173	-21.2209855082254	1.58256513239811e-11	1.62562916436625e-09	16.7850750893612
ATXN2	-1.90661300932227	6.46374085081814	-21.1891511496672	1.61314580089933e-11	1.63348214132773e-09	16.7663498936829
TEAD3	-1.72843024193151	8.4715211377647	-21.1139515685128	1.68793407250576e-11	1.7011509147716e-09	16.7509747746678
CDKN1C	-2.15874260467506	10.0190522228699	-20.978183971491	1.83256067202761e-11	1.82113913109498e-09	16.7057040912747
EVA1B	-2.1698486463905	4.56007816325679	-20.9081547683504	1.91231548386277e-11	1.89159873278759e-09	16.6728802029772
MANF	-1.50926141097357	6.56311993193677	-21.0166713096725	1.79025612136172e-11	1.78741178920629e-09	16.6543690127597
FAM131A	-2.37387675284932	4.50999695725114	-20.8244893548377	2.01252040280224e-11	1.94128428137285e-09	16.6270685464274
CENPE	1.60776326551839	5.88387116537103	20.8818584252994	1.94322001106244e-11	1.91331054176775e-09	16.6252070925626
ADM2	-3.26650183817296	4.42354097729665	-20.7731527380855	2.07678728963407e-11	1.9898043601041e-09	16.6188086551075
BMP1	-1.74298744898168	5.16815152230209	-20.8459238214929	1.98632234781487e-11	1.94128428137285e-09	16.584702665226
TP53I11	-2.9617290535947	3.43816602410498	-20.6021473624851	2.3072668382191e-11	2.15271018626154e-09	16.5720681699281
ATP6V1F	-1.41046648214846	5.68587753248438	-20.8357818508679	1.99867231143614e-11	1.94128428137285e-09	16.5503224442779
MED12L	-1.52657682426239	6.85089699745176	-20.8256363788346	2.01110910511691e-11	1.94128428137285e-09	16.5348126013538
TREM1	-4.37025648124372	1.44134638423423	-20.8208054060175	2.01706033167075e-11	1.94128428137285e-09	16.5284849430487
HDAC5	-2.68768776184707	7.38096242579079	-20.7542195752529	2.10104271231733e-11	2.00405707997197e-09	16.5075338888539
TANC1	-1.53094755484979	5.13963379697166	-20.7177637790979	2.14860790762192e-11	2.04031806907777e-09	16.5024310849115
