logFC	AveExpr	t	P.Value	adj.P.Val	B
FSD1	-2.17171473361871	4.40448869768529	-32.215762107905	1.65435528310421e-14	2.34544603930008e-12	23.7472453864295
FAM131A	-2.26059571521123	4.56595462440795	-32.195775336521	1.66857529707766e-14	2.34544603930008e-12	23.7335589669984
IRS1	1.89807386307065	7.22276422661331	32.2575758184518	1.62502397415071e-14	2.3302189417251e-12	23.7009433155296
HSD3B1	-4.28792999084373	6.42322409726772	-32.2053869981019	1.66172060973324e-14	2.34544603930008e-12	23.6870337370171
CSF2RB	-3.36864816984644	4.11976316885728	-32.0382209415486	1.78536042965867e-14	2.47701369740825e-12	23.6753228305796
LRP2	2.16755952556091	8.26533106387054	32.0526994772238	1.77427174420508e-14	2.47701369740825e-12	23.596611491053
SH3TC2	-5.21500847607421	2.31895133310274	-33.2918809230119	1.05135407863623e-14	1.71475047665204e-12	23.58413482855
SLC17A9	-4.75695693771146	1.84937380760489	-33.9580329066843	7.99769488017218e-15	1.38925812040454e-12	23.5672695993647
CALR	-1.64333710795084	10.9420859908005	-31.9132157868986	1.88424223858955e-14	2.59733675288415e-12	23.5488822840755
MAFK	-3.33951136738555	7.34752794663722	-31.8632811252172	1.92536661350034e-14	2.63319282651281e-12	23.5128293858337
CHMP4B	-1.54664812949305	7.62749198248171	-31.8518653710032	1.93490252626842e-14	2.63319282651281e-12	23.5002656594592
GLA	-1.71944252522915	6.56413039329439	-31.8136981264403	1.96715365609744e-14	2.66013955798594e-12	23.4904467000929
BMP1	-1.89717323409409	5.05588779756996	-31.6566531877869	2.10604064706106e-14	2.78678121415667e-12	23.4720499568527
SLC41A1	-2.07630454980398	4.6429647941912	-31.605262122359	2.15374069013374e-14	2.80534949196719e-12	23.4706906922699
FGF18	-3.33075665006713	3.08356285805668	-31.6491036648101	2.11297648925105e-14	2.78678121415667e-12	23.4201412710025
ST6GAL1	-3.44712104827563	2.96495911764047	-31.6995719231647	2.06707104477817e-14	2.76031499642065e-12	23.4123828796639
MED14	-1.47791516221797	6.35860218576529	-31.5917799987588	2.16644512859022e-14	2.80534949196719e-12	23.3940419357259
SH2B2	-2.03670024693415	7.0160302322369	-31.6066712493914	2.15241745684345e-14	2.80534949196719e-12	23.3933927158102
BCAR1	-2.11050214701038	6.86329708186174	-31.5297344588152	2.22595484742443e-14	2.86504525723315e-12	23.3601019891183
MANF	-1.46726484351009	6.57774442060741	-31.4397693797098	2.31537239441267e-14	2.94521632939374e-12	23.321566089717
TMEM198	-3.32128740326914	3.00828373354348	-31.4393365500966	2.31581177262074e-14	2.94521632939374e-12	23.319500101829
PID1	-2.54742712868512	5.3135370587523	-31.2369677912825	2.53135899255608e-14	3.20029681863628e-12	23.2766820907077
MICAL1	-2.98482340220584	4.91358208475946	-31.1283840028857	2.65578439806641e-14	3.31833271632088e-12	23.2530121816459
TUBB3	-2.89502398236793	7.07602781372107	-31.2184784719327	2.55209695030684e-14	3.20753549648564e-12	23.2206715274239
BACE2	-3.11038452211618	3.42868912087241	-31.031106699559	2.7728230839002e-14	3.32832236014673e-12	23.2109368856071
ADAM19	-4.07813373582703	5.26275440118599	-30.9976953105358	2.81428599508719e-14	3.35921980843759e-12	23.1923889783647
TP53I11	-3.0580647339511	3.37374882032678	-30.9265073262978	2.90485947123331e-14	3.4290180918437e-12	23.1615244042688
TNFRSF1B	-4.58224219214073	8.62476827814585	-31.0361095069688	2.76667120044311e-14	3.32832236014673e-12	23.1451005262165
CLEC1A	-4.20486271257508	3.93240153832589	-30.8365051977894	3.0238620968972e-14	3.53048292690194e-12	23.1420456796388
DUSP8	-3.14785021465238	4.06006879577329	-30.8052681392872	3.06637574278026e-14	3.56066218044799e-12	23.1365118593931
MIDN	-2.07059837312234	8.23094131393984	-31.0429691111721	2.7582597830935e-14	3.32832236014673e-12	23.1360031630656
HBEGF	-4.42067533243426	1.79558849909241	-32.5198077037125	1.45331498549665e-14	2.12681698493982e-12	23.1088255285246
TTC39C	-2.0475390526584	4.06460779516132	-30.7362345024048	3.16261738089931e-14	3.60052117503209e-12	23.1036435193648
