logFC	AveExpr	t	P.Value	adj.P.Val	B
SH3BP5	2.12990807418235	6.24910795589591	17.278314629024	2.37005710720082e-10	7.06495312679402e-08	14.2527467776658
MIR205HG	3.38681763651873	7.12349377226664	17.2955294541217	2.34074027966898e-10	7.06495312679402e-08	14.22505214201
EDNRA	3.96170450218168	4.10568960519494	17.4873517483095	2.03916906127692e-10	6.32840754564774e-08	14.2081714847549
STT3B	1.58967181306744	7.663237795478	17.13930741812	2.62174787834882e-10	7.69372238855928e-08	14.0652166051286
PKP2	2.36331025614245	5.46152177592123	16.9180358036933	3.08349139893171e-10	8.51908507839e-08	14.0154262639437
TFAP2C	3.12734352368451	4.6972233886879	16.9305755259767	3.05511501305134e-10	8.51908507839e-08	13.9954004401359
CAST	1.72546219740291	8.57919238785956	17.1232120254696	2.65269492995182e-10	7.69372238855928e-08	13.9909325164729
TRIM71	1.97666344080211	6.57588739034814	16.8840652232244	3.16179540073232e-10	8.63017768717961e-08	13.9404063600923
SOX3	-3.57011818976976	5.75173635923488	-16.7814528152719	3.41156867855381e-10	9.09283393089841e-08	13.8607629784307
POU3F1	-4.33478401863052	5.02969279542985	-17.0904883103131	2.71682979953539e-10	7.69372238855928e-08	13.7475426105797
PRSS8	3.96281659916767	4.21433400511552	16.742081102154	3.51295863123668e-10	9.25419509193803e-08	13.7415116798055
ENSG00000288931	2.98442641604257	4.39012397120113	16.563268946264	4.01592094474726e-10	1.01089654448055e-07	13.7026487464296
COL1A2	-1.54528708089241	8.88183773092342	-16.6023444921823	3.89975282023764e-10	9.92684271263862e-08	13.6075155081669
RIPPLY3	5.66845131540241	3.94731117191349	17.1043267176321	2.68950716147509e-10	7.69372238855928e-08	13.5908965703779
NRCAM	-3.97124138869827	4.92812025519002	-16.6769468100036	3.68786357029497e-10	9.60328151552097e-08	13.5128434664015
LLGL2	2.97672276707542	4.42279888114078	16.2574474991667	5.06428482321652e-10	1.26078431505462e-07	13.4862651372859
MED12L	2.66507004176145	5.43228022665506	16.1401932742159	5.54114381383719e-10	1.34983454948905e-07	13.4300215923793
GATA3	2.87902761682193	6.71829971007408	16.1890905885661	5.33667037038029e-10	1.31415507870615e-07	13.4003768918035
ITGA1	-4.76028571781638	4.70431580029993	-16.8599534466946	3.21866857785877e-10	8.68082578945124e-08	13.2924719328151
CGN	2.77354928115548	4.79460725895792	15.9572477998655	6.38404113273108e-10	1.49103558620642e-07	13.2900885936823
MT2A	2.47088266189986	7.24505610678189	16.0528256024575	5.92772487326518e-10	1.40231111854977e-07	13.2501614072431
POU5F1B	7.380290443134	3.75124257005403	18.0177342857347	1.40262212953414e-10	4.81460671887816e-08	13.2152912510633
OLFML3	4.58606686621607	3.28832647741215	16.615078640914	3.86267890054385e-10	9.92684271263862e-08	13.1530824071113
NOVA2	-4.57591224794221	5.32156191167319	-16.0574268120158	5.90665953569772e-10	1.40231111854977e-07	13.1380466517039
PPM1H	3.536665312321	4.78360398078372	15.6663112054279	8.0209449589201e-10	1.79915354499341e-07	13.0585174112538
FOXC1	3.64925382668032	5.34902765197014	15.6324353483073	8.23903387561417e-10	1.81777019121844e-07	13.0402341478889
SYT7	2.96847627837482	4.53339816250806	15.6285554687585	8.2644153474067e-10	1.81777019121844e-07	13.0226829844862
ERBB3	3.35057074617772	3.85989772100081	15.7755813143562	7.35867882595667e-10	1.67276474689243e-07	13.0212443952631
FAM89A	2.55138209975159	5.02984821714835	15.5914648628855	8.51133447720314e-10	1.82372620824574e-07	13.0083516804135
FOXA2	-3.38819674169563	4.94685501611324	-15.7712736220209	7.38364487703566e-10	1.67276474689243e-07	12.9924551452225
EPHB2	-2.06239159032379	6.35193213997726	-15.5661396489738	8.68447076304994e-10	1.83675653633708e-07	12.9708772320049
MAP1A	-2.69545002483366	5.74686020436045	-15.5442470871072	8.83718660166593e-10	1.83675653633708e-07	12.9688865456705
ZNF331	1.8588482270686	6.23346472738701	15.5882665539005	8.53299395603836e-10	1.82372620824574e-07	12.9448252410907
LOXL2	-2.01532276248236	6.99914009005779	-15.5081328791649	9.09544165885197e-10	1.8732475525572e-07	12.8817246707738
MOXD1	-4.43857356130597	4.67221019203188	-16.0496612950472	5.94225854693346e-10	1.40231111854977e-07	12.8676022870962
LRATD2	1.94994581062935	6.0321432032991	15.3800646273706	1.00785786579957e-09	1.98547999562516e-07	12.7886972331832
NCAM1	-4.50626144591184	5.19501857415827	-15.5908673402992	8.51537651347351e-10	1.82372620824574e-07	12.7762582879544
ZFP36L2	1.87394650653186	8.08860152266135	15.5445816906295	8.8348309431328e-10	1.83675653633708e-07	12.7705735695074
MAL2	3.72386161546989	4.78241819308799	15.292585015852	1.08153501859137e-09	2.09420306377671e-07	12.7631644533492
COL6A1	-1.71494555204592	7.7027974898978	-15.3884019728123	1.00112245464556e-09	1.98547999562516e-07	12.7198922662776
MLLT11	-1.79281966725524	7.32197236638718	-15.3062152131647	1.06968518451616e-09	2.08911360820806e-07	12.6842681396742
F11R	1.64054651032438	6.81489533518384	15.277267009238	1.09502051236257e-09	2.10234658538764e-07	12.6447421764216
MT1E	3.25463864555849	4.60675055285457	15.1388968645061	1.22534219222023e-09	2.31334394706245e-07	12.6385350560613
VCAM1	-4.50914346304911	4.999522690189	-15.4686684706139	9.38694376270688e-10	1.89876081200111e-07	12.6153743910735
DCX	-5.10663023974938	4.85732896211628	-15.7874431337276	7.29039841557404e-10	1.67276474689243e-07	12.61478348944
CD24	1.20806678057649	8.93553485792236	15.4296827701044	9.68477450378455e-10	1.94166872905521e-07	12.6131110547432
ADD3	1.65151525596989	7.23614884851007	15.2300633195891	1.13772409987727e-09	2.16597810779156e-07	12.5728619587042
TTYH1	-3.31728463444758	5.64559840653954	-15.0640290174719	1.30271186088407e-09	2.43076003654771e-07	12.5727382578515
NLRP1	-2.1182636948824	6.10715272968725	-15.019986288909	1.3506620315975e-09	2.46625812870555e-07	12.5375034064816
ARHGAP28	2.20274446537987	5.048425786495	14.9786323080282	1.39741162574759e-09	2.49278428199304e-07	12.511535164887
